,min,avg,max,mdev
planetlab5.eecs.umich.edu,130.371,130.437,130.591,0.415
,,,,
planetlab5.eecs.umich.edu,130.356,130.424,130.597,0.206
,,,,
planetlab5.eecs.umich.edu,130.343,130.417,130.508,0.122
,,,,
planetlab5.eecs.umich.edu,130.398,130.466,130.562,0.166
,,,,
planetlab5.eecs.umich.edu,130.371,130.433,130.601,0.487
,,,,
planetlab5.eecs.umich.edu,130.366,130.423,130.606,0.415
,,,,
planetlab5.eecs.umich.edu,130.359,130.424,130.502,0.485
,,,,
planetlab5.eecs.umich.edu,130.34,130.469,131.608,0.54
,,,,
planetlab5.eecs.umich.edu,130.419,130.507,131.196,0.343
,,,,
planetlab5.eecs.umich.edu,130.4,130.478,130.702,0.385
,,,,
planetlab5.eecs.umich.edu,130.356,130.411,130.519,0.039
,,,,
planetlab5.eecs.umich.edu,130.381,130.468,130.673,0.4
,,,,
planetlab5.eecs.umich.edu,130.418,130.452,130.554,0.031
,,,,
planetlab5.eecs.umich.edu,130.354,130.412,130.474,0.117
,,,,
planetlab5.eecs.umich.edu,130.445,130.498,130.69,0.327
,,,,
planetlab5.eecs.umich.edu,130.373,130.479,130.583,0.415
,,,,
planetlab5.eecs.umich.edu,130.369,130.422,130.701,0.475
,,,,
planetlab5.eecs.umich.edu,130.351,130.422,130.523,0.043
,,,,
planetlab5.eecs.umich.edu,130.426,130.529,130.774,0.249
,,,,
planetlab5.eecs.umich.edu,130.328,130.404,130.551,0.5
,,,,
planetlab5.eecs.umich.edu,130.372,130.483,130.644,0.501
,,,,
planetlab5.eecs.umich.edu,130.462,130.519,130.684,0.444
,,,,
planetlab5.eecs.umich.edu,130.442,130.501,130.6,0.164
,,,,
planetlab5.eecs.umich.edu,130.454,130.527,130.783,0.292
,,,,
planetlab5.eecs.umich.edu,130.388,130.469,130.834,0.217
,,,,
planetlab5.eecs.umich.edu,130.394,130.456,130.604,0.168
,,,,
planetlab5.eecs.umich.edu,130.373,130.479,130.746,0.35
,,,,
planetlab5.eecs.umich.edu,130.42,130.498,130.57,0.485
,,,,
planetlab5.eecs.umich.edu,130.426,130.51,130.628,0.487
,,,,
planetlab5.eecs.umich.edu,130.363,130.464,130.607,0.384
,,,,
planetlab5.eecs.umich.edu,130.397,130.533,130.683,0.476
,,,,
planetlab5.eecs.umich.edu,130.407,130.487,130.597,0.384
,,,,
planetlab5.eecs.umich.edu,130.394,130.475,130.682,0.488
,,,,
planetlab5.eecs.umich.edu,130.387,130.464,130.578,0.325
,,,,
planetlab5.eecs.umich.edu,130.388,130.466,130.652,0.367
,,,,
planetlab5.eecs.umich.edu,130.381,130.478,130.654,0.382
,,,,
planetlab5.eecs.umich.edu,130.417,130.53,130.843,0.291
,,,,
planetlab5.eecs.umich.edu,130.36,130.431,130.624,0.054
,,,,
planetlab5.eecs.umich.edu,130.388,130.457,130.526,0.231
,,,,
planetlab5.eecs.umich.edu,130.431,130.484,130.55,0.428
,,,,
planetlab5.eecs.umich.edu,130.365,130.498,131.769,0.479
,,,,
planetlab5.eecs.umich.edu,130.366,130.422,130.592,0.364
