Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
PLANETLAB2.UTDALLAS.EDU,7,10.557,*,10.554
PLANETLAB2.UTDALLAS.EDU,7,13.630,*,13.577
PLANETLAB2.UTDALLAS.EDU,10,32.449,*,31.658
