,min,avg,max,mdev
planetlab-n2.wand.net.nz,171.523,172.019,176.155,1.12
,,,,
planetlab-n2.wand.net.nz,171.519,172.002,176.839,1.201
,,,,
planetlab-n2.wand.net.nz,171.547,171.74,172.452,0.605
,,,,
planetlab-n2.wand.net.nz,171.533,171.913,174.44,0.755
,,,,
planetlab-n2.wand.net.nz,171.551,171.664,172.479,0.303
,,,,
planetlab-n2.wand.net.nz,171.522,171.597,171.771,0.268
,,,,
planetlab-n2.wand.net.nz,171.519,172.46,182.354,2.348
,,,,
planetlab-n2.wand.net.nz,171.516,172.057,175.717,1.286
,,,,
planetlab-n2.wand.net.nz,171.516,171.586,171.788,0.495
,,,,
planetlab-n2.wand.net.nz,171.513,171.597,172.285,0.463
,,,,
planetlab-n2.wand.net.nz,171.505,171.559,171.688,0.558
,,,,
planetlab-n2.wand.net.nz,171.505,171.818,176.028,0.972
,,,,
planetlab-n2.wand.net.nz,171.495,171.543,171.585,0.321
,,,,
planetlab-n2.wand.net.nz,171.509,171.563,171.621,0.371
,,,,
planetlab-n2.wand.net.nz,171.519,171.547,171.607,0.393
,,,,
planetlab-n2.wand.net.nz,171.511,171.549,171.604,0.571
,,,,
planetlab-n2.wand.net.nz,171.517,171.558,171.742,0.233
,,,,
planetlab-n2.wand.net.nz,171.522,171.979,180.223,1.931
,,,,
planetlab-n2.wand.net.nz,171.495,171.538,171.638,0.371
,,,,
planetlab-n2.wand.net.nz,171.515,171.611,172.147,0.402
,,,,
planetlab-n2.wand.net.nz,171.496,171.862,177.241,1.348
,,,,
planetlab-n2.wand.net.nz,171.5,171.611,172.37,0.488
,,,,
planetlab-n2.wand.net.nz,171.51,171.653,171.768,0.38
,,,,
planetlab-n2.wand.net.nz,171.565,171.814,173.57,0.681
,,,,
planetlab-n2.wand.net.nz,171.541,172.206,181.198,2.148
,,,,
planetlab-n2.wand.net.nz,171.564,172.138,174.404,1.016
,,,,
planetlab-n2.wand.net.nz,171.573,172.062,174.885,0.889
,,,,
planetlab-n2.wand.net.nz,171.516,171.895,172.989,0.615
,,,,
planetlab-n2.wand.net.nz,171.529,171.627,171.99,0.224
,,,,
planetlab-n2.wand.net.nz,171.523,171.595,171.789,0.268
,,,,
planetlab-n2.wand.net.nz,171.532,171.922,176.247,1.153
,,,,
planetlab-n2.wand.net.nz,171.506,171.554,171.661,0.416
,,,,
planetlab-n2.wand.net.nz,171.513,171.847,173.318,0.841
,,,,
planetlab-n2.wand.net.nz,171.521,171.787,174.183,0.786
,,,,
planetlab-n2.wand.net.nz,171.514,171.602,172.441,0.559
,,,,
planetlab-n2.wand.net.nz,171.535,171.574,171.636,0.507
,,,,
planetlab-n2.wand.net.nz,171.532,171.586,171.984,0.094
,,,,
planetlab-n2.wand.net.nz,171.542,171.567,171.624,0.54
,,,,
planetlab-n2.wand.net.nz,171.536,171.57,171.619,0.556
,,,,
planetlab-n2.wand.net.nz,171.525,171.568,171.635,0.262
,,,,
planetlab-n2.wand.net.nz,171.533,171.566,171.598,0.555
,,,,
planetlab-n2.wand.net.nz,171.518,171.578,171.786,0.374
,,,,
planetlab-n2.wand.net.nz,171.52,171.642,173.009,0.43
,,,,
planetlab-n2.wand.net.nz,171.539,171.595,171.82,0.529
,,,,
planetlab-n2.wand.net.nz,171.553,171.638,172.427,0.23
,,,,
planetlab-n2.wand.net.nz,171.53,171.583,171.647,0.524
,,,,
planetlab-n2.wand.net.nz,171.574,171.702,172.307,0.156
,,,,
planetlab-n2.wand.net.nz,171.532,171.689,172.426,0.476
,,,,
planetlab-n2.wand.net.nz,171.54,171.784,172.72,0.522
,,,,
planetlab-n2.wand.net.nz,171.524,171.656,171.941,0.565
,,,,
planetlab-n2.wand.net.nz,171.532,171.866,172.998,0.688
,,,,
planetlab-n2.wand.net.nz,171.529,171.648,172.113,0.169
,,,,
planetlab-n2.wand.net.nz,171.528,171.963,177.937,1.487
,,,,
planetlab-n2.wand.net.nz,171.529,171.586,171.991,0.28
,,,,
planetlab-n2.wand.net.nz,171.51,171.558,171.712,0.557
,,,,
planetlab-n2.wand.net.nz,171.496,171.876,178.038,1.502
,,,,
planetlab-n2.wand.net.nz,171.526,171.647,172.862,0.638
,,,,
planetlab-n2.wand.net.nz,171.501,171.568,171.722,0.574
,,,,
planetlab-n2.wand.net.nz,171.509,171.544,171.621,0.415
,,,,
planetlab-n2.wand.net.nz,171.496,171.567,172.067,0.486
,,,,
planetlab-n2.wand.net.nz,171.516,171.803,176.212,1.055
,,,,
planetlab-n2.wand.net.nz,171.476,171.876,178.367,1.517
,,,,
planetlab-n2.wand.net.nz,171.492,171.545,171.625,0.415
,,,,
planetlab-n2.wand.net.nz,171.504,171.539,171.633,0.321
,,,,
planetlab-n2.wand.net.nz,171.497,171.53,171.563,0.434
,,,,
planetlab-n2.wand.net.nz,171.511,171.583,172.272,0.381
,,,,
planetlab-n2.wand.net.nz,171.511,171.533,171.59,0.507
,,,,
planetlab-n2.wand.net.nz,171.522,171.582,171.705,0.527
,,,,
planetlab-n2.wand.net.nz,171.534,171.585,171.865,0.353
,,,,
planetlab-n2.wand.net.nz,171.528,171.621,172.718,0.567
,,,,
planetlab-n2.wand.net.nz,171.526,171.679,171.897,0.366
,,,,
planetlab-n2.wand.net.nz,171.529,171.748,172.348,0.421
,,,,
planetlab-n2.wand.net.nz,171.511,171.829,173.447,0.751
,,,,
planetlab-n2.wand.net.nz,171.53,171.79,174.136,0.629
,,,,
planetlab-n2.wand.net.nz,171.521,171.626,172.083,0.414
,,,,
planetlab-n2.wand.net.nz,171.504,171.937,178.408,1.533
,,,,
planetlab-n2.wand.net.nz,171.502,171.555,171.622,0.491
,,,,
planetlab-n2.wand.net.nz,171.507,171.56,171.773,0.144
,,,,
planetlab-n2.wand.net.nz,171.523,171.557,171.677,0.322
,,,,
planetlab-n2.wand.net.nz,171.5,171.537,171.562,0.321
,,,,
planetlab-n2.wand.net.nz,171.516,171.702,174.601,0.783
,,,,
planetlab-n2.wand.net.nz,171.492,171.542,171.609,0.508
,,,,
planetlab-n2.wand.net.nz,171.512,171.635,173.14,0.585
,,,,
planetlab-n2.wand.net.nz,171.519,171.556,171.612,0.133
,,,,
planetlab-n2.wand.net.nz,171.504,171.57,172.003,0.519
,,,,
planetlab-n2.wand.net.nz,171.515,171.543,171.571,0.49
,,,,
planetlab-n2.wand.net.nz,171.502,171.95,179.69,1.823
,,,,
planetlab-n2.wand.net.nz,171.514,171.735,175.26,0.88
,,,,
planetlab-n2.wand.net.nz,171.513,173.598,180.888,2.729
,,,,
planetlab-n2.wand.net.nz,171.505,171.722,175.021,0.92
,,,,
