,min,avg,max,mdev
PLANETLAB2.UTDALLAS.EDU,40.337,40.383,40.434,0.17
,,,,
PLANETLAB2.UTDALLAS.EDU,40.36,40.392,40.433,0.211
,,,,
PLANETLAB2.UTDALLAS.EDU,40.367,40.49,40.707,0.132
,,,,
PLANETLAB2.UTDALLAS.EDU,40.361,40.49,40.65,0.257
,,,,
PLANETLAB2.UTDALLAS.EDU,40.352,40.406,40.539,0.281
,,,,
PLANETLAB2.UTDALLAS.EDU,40.366,40.396,40.473,0.181
,,,,
PLANETLAB2.UTDALLAS.EDU,40.369,40.405,40.567,0.249
,,,,
PLANETLAB2.UTDALLAS.EDU,40.358,40.403,40.557,0.149
,,,,
PLANETLAB2.UTDALLAS.EDU,40.371,40.397,40.432,0.169
,,,,
PLANETLAB2.UTDALLAS.EDU,40.384,40.41,40.468,0.068
,,,,
PLANETLAB2.UTDALLAS.EDU,40.351,40.411,40.453,0.182
,,,,
PLANETLAB2.UTDALLAS.EDU,40.36,40.396,40.437,0.247
,,,,
PLANETLAB2.UTDALLAS.EDU,40.391,40.42,40.54,0.194
,,,,
PLANETLAB2.UTDALLAS.EDU,40.368,40.41,40.474,0.278
,,,,
PLANETLAB2.UTDALLAS.EDU,40.375,40.428,40.843,0.132
,,,,
PLANETLAB2.UTDALLAS.EDU,40.377,40.451,41.01,0.225
,,,,
PLANETLAB2.UTDALLAS.EDU,40.388,40.457,40.649,0.121
,,,,
PLANETLAB2.UTDALLAS.EDU,40.412,40.589,40.798,0.276
,,,,
PLANETLAB2.UTDALLAS.EDU,40.393,40.441,40.593,0.076
,,,,
PLANETLAB2.UTDALLAS.EDU,40.388,40.491,41.584,0.289
,,,,
PLANETLAB2.UTDALLAS.EDU,40.393,40.423,40.48,0.278
,,,,
PLANETLAB2.UTDALLAS.EDU,40.391,40.442,40.694,0.062
,,,,
PLANETLAB2.UTDALLAS.EDU,40.42,40.446,40.555,0.248
,,,,
PLANETLAB2.UTDALLAS.EDU,40.389,40.611,41.221,0.391
,,,,
PLANETLAB2.UTDALLAS.EDU,40.399,40.528,41.504,0.325
,,,,
PLANETLAB2.UTDALLAS.EDU,40.393,40.472,40.804,0.202
,,,,
PLANETLAB2.UTDALLAS.EDU,40.388,40.467,40.597,0.165
,,,,
PLANETLAB2.UTDALLAS.EDU,40.423,40.463,40.67,0.235
,,,,
PLANETLAB2.UTDALLAS.EDU,40.423,40.483,40.847,0.221
,,,,
PLANETLAB2.UTDALLAS.EDU,40.435,40.663,41.307,0.389
,,,,
PLANETLAB2.UTDALLAS.EDU,40.412,40.578,42.873,0.542
,,,,
PLANETLAB2.UTDALLAS.EDU,40.42,40.702,41.909,0.444
,,,,
PLANETLAB2.UTDALLAS.EDU,40.424,40.619,40.714,0.269
,,,,
PLANETLAB2.UTDALLAS.EDU,40.419,40.469,40.683,0.228
,,,,
PLANETLAB2.UTDALLAS.EDU,40.421,40.504,41.102,0.251
,,,,
PLANETLAB2.UTDALLAS.EDU,40.428,40.649,41.707,0.404
,,,,
PLANETLAB2.UTDALLAS.EDU,40.432,40.486,40.696,0.27
,,,,
PLANETLAB2.UTDALLAS.EDU,40.419,40.614,41.8,0.385
,,,,
PLANETLAB2.UTDALLAS.EDU,40.438,40.537,41.6,0.246
,,,,
PLANETLAB2.UTDALLAS.EDU,40.428,40.549,41.702,0.267
,,,,
PLANETLAB2.UTDALLAS.EDU,40.433,40.479,40.544,0.129
,,,,
PLANETLAB2.UTDALLAS.EDU,40.434,40.501,40.683,0.255
,,,,
PLANETLAB2.UTDALLAS.EDU,40.456,40.545,41.081,0.31
,,,,
