,min,avg,max,mdev
Planetlab1.cs.ucla.edu,24.491,24.674,25.277,0.271
,,,,
Planetlab1.cs.ucla.edu,24.489,24.572,24.913,0.206
,,,,
Planetlab1.cs.ucla.edu,24.451,24.547,24.916,0.103
,,,,
Planetlab1.cs.ucla.edu,24.473,24.588,24.988,0.233
,,,,
Planetlab1.cs.ucla.edu,24.469,24.623,25.322,0.252
,,,,
Planetlab1.cs.ucla.edu,24.457,24.571,24.925,0.121
,,,,
Planetlab1.cs.ucla.edu,24.489,24.605,25.12,0.265
,,,,
Planetlab1.cs.ucla.edu,24.464,24.579,24.956,0.247
,,,,
Planetlab1.cs.ucla.edu,24.454,24.535,24.617,0.123
,,,,
Planetlab1.cs.ucla.edu,24.448,24.541,24.744,0.221
,,,,
Planetlab1.cs.ucla.edu,24.485,24.588,24.944,0.238
,,,,
Planetlab1.cs.ucla.edu,24.455,24.542,24.983,0.2
,,,,
Planetlab1.cs.ucla.edu,24.471,24.541,24.738,0.19
,,,,
Planetlab1.cs.ucla.edu,24.46,24.559,24.771,0.223
,,,,
Planetlab1.cs.ucla.edu,24.462,24.606,24.905,0.202
,,,,
Planetlab1.cs.ucla.edu,24.466,24.582,25.117,0.223
,,,,
Planetlab1.cs.ucla.edu,24.464,24.513,24.612,0.196
,,,,
Planetlab1.cs.ucla.edu,24.446,24.527,24.804,0.165
,,,,
Planetlab1.cs.ucla.edu,24.476,24.562,24.824,0.161
,,,,
Planetlab1.cs.ucla.edu,24.465,24.595,25.11,0.191
,,,,
Planetlab1.cs.ucla.edu,24.466,24.565,24.845,0.212
,,,,
Planetlab1.cs.ucla.edu,24.453,24.542,24.823,0.16
,,,,
Planetlab1.cs.ucla.edu,24.457,24.967,26.812,0.695
,,,,
Planetlab1.cs.ucla.edu,24.436,24.568,24.901,0.191
,,,,
Planetlab1.cs.ucla.edu,24.471,24.822,26.352,0.62
,,,,
Planetlab1.cs.ucla.edu,24.455,24.668,26.5,0.432
,,,,
Planetlab1.cs.ucla.edu,24.457,24.596,24.947,0.226
,,,,
Planetlab1.cs.ucla.edu,24.463,24.564,24.898,0.138
,,,,
Planetlab1.cs.ucla.edu,24.473,24.54,25.004,0.116
,,,,
Planetlab1.cs.ucla.edu,24.465,24.535,24.743,0.218
,,,,
Planetlab1.cs.ucla.edu,24.459,24.564,24.802,0.101
,,,,
Planetlab1.cs.ucla.edu,24.472,24.605,25.458,0.235
,,,,
Planetlab1.cs.ucla.edu,24.44,24.555,24.805,0.202
,,,,
Planetlab1.cs.ucla.edu,24.633,28.088,34.034,3.376
,,,,
Planetlab1.cs.ucla.edu,24.435,24.539,24.685,0.13
,,,,
Planetlab1.cs.ucla.edu,24.466,24.554,24.934,0.104
,,,,
Planetlab1.cs.ucla.edu,24.461,24.571,24.978,0.198
,,,,
Planetlab1.cs.ucla.edu,24.474,24.622,24.993,0.249
,,,,
Planetlab1.cs.ucla.edu,24.469,24.6,25.167,0.264
,,,,
Planetlab1.cs.ucla.edu,24.459,24.61,24.895,0.22
,,,,
Planetlab1.cs.ucla.edu,24.458,24.646,25.488,0.308
,,,,
Planetlab1.cs.ucla.edu,24.471,24.593,25.216,0.268
,,,,
Planetlab1.cs.ucla.edu,24.466,24.558,24.956,0.243
,,,,
Planetlab1.cs.ucla.edu,24.474,24.608,25.029,0.226
,,,,
Planetlab1.cs.ucla.edu,24.459,24.648,25.653,0.269
,,,,
Planetlab1.cs.ucla.edu,24.471,24.551,24.866,0.191
,,,,
Planetlab1.cs.ucla.edu,24.524,24.643,24.793,0.217
,,,,
Planetlab1.cs.ucla.edu,24.445,24.584,25.351,0.226
,,,,
Planetlab1.cs.ucla.edu,24.453,24.629,25.242,0.3
,,,,
Planetlab1.cs.ucla.edu,24.484,24.662,26.834,0.525
,,,,
Planetlab1.cs.ucla.edu,24.479,24.538,24.866,0.196
,,,,
Planetlab1.cs.ucla.edu,24.453,24.542,24.665,0.177
,,,,
Planetlab1.cs.ucla.edu,24.476,24.595,24.983,0.195
,,,,
Planetlab1.cs.ucla.edu,24.474,24.585,24.811,0.114
,,,,
Planetlab1.cs.ucla.edu,24.474,24.604,24.981,0.128
,,,,
Planetlab1.cs.ucla.edu,24.479,24.536,24.728,0.122
,,,,
Planetlab1.cs.ucla.edu,24.423,24.569,24.95,0.236
,,,,
Planetlab1.cs.ucla.edu,24.429,24.501,24.584,0.06
,,,,
Planetlab1.cs.ucla.edu,24.498,24.581,24.785,0.138
,,,,
Planetlab1.cs.ucla.edu,24.478,24.636,25.391,0.248
,,,,
Planetlab1.cs.ucla.edu,24.504,24.578,24.711,0.201
,,,,
Planetlab1.cs.ucla.edu,24.496,32.286,44.605,9.395
,,,,
Planetlab1.cs.ucla.edu,24.485,24.679,26.806,0.537
,,,,
Planetlab1.cs.ucla.edu,24.456,24.577,25.065,0.205
,,,,
Planetlab1.cs.ucla.edu,24.472,24.544,24.836,0.207
,,,,
Planetlab1.cs.ucla.edu,24.476,24.583,24.737,0.17
,,,,
Planetlab1.cs.ucla.edu,24.46,24.504,24.595,0.037
,,,,
Planetlab1.cs.ucla.edu,24.453,24.665,25.851,0.351
,,,,
Planetlab1.cs.ucla.edu,24.483,24.586,24.912,0.19
,,,,
Planetlab1.cs.ucla.edu,24.458,24.557,24.842,0.221
,,,,
Planetlab1.cs.ucla.edu,24.44,24.553,24.79,0.156
,,,,
